Sigd2,prop,rand,RF
0.770312139,0.795653008,0.789715701,0.80206491
0.793283429,0.807571628,0.797767297,0.811584814
0.784982746,0.801230209,0.828758411,0.796723884
0.776377438,0.811255798,0.787579089,0.810787443
0.792594456,0.815677117,0.799895145,0.814645629
0.779618581,0.785746196,0.812778061,0.795788752
0.784132962,0.80932797,0.787309788,0.77765013
0.77695137,0.795090613,0.786091898,0.760132965
0.790502486,0.789836076,0.778036665,0.83248159
0.76842227,0.802714276,0.802870485,0.786558316
0.781312935,0.78371133,0.782209027,0.788386332
0.772624074,0.832837735,0.791351967,0.80268549
0.786533417,0.777835494,0.785764941,0.78696724
0.76547883,0.81446796,0.796054467,0.811211177
0.794843601,0.810964673,0.805957061,0.780170406
0.766282466,0.82302396,0.805113685,0.789244611
0.788754047,0.832053897,0.795988092,0.793565615
0.775369204,0.803811722,0.798337586,0.782170597
0.774862528,0.80258595,0.798524831,0.786326941
0.780803913,0.781318559,0.796673511,0.82378852
